cut_conductance,lambda_2,upper_bound
0.1572724743929531,0.043880880436874194,0.044560534411336714
0.16345157936286075,0.04557709970066354,0.04631128081947721
0.16987345623787475,0.04733772736968635,0.04813081260073118
0.17654764332462589,0.04916511438693825,0.050021832275310665
0.18348405368189555,0.05106168961643774,0.051987148543203736
0.19069298984431537,0.05302996174298,0.05402968045588936
0.1981851591245512,0.05507252115333532,0.05615246175195617
0.20597168951669564,0.057192041790756536,0.05835864536306377
0.2140641462244914,0.05939128297375183,0.060651508096939234
0.22247454883893708,0.06167309116912488,0.06303445550436551
0.23121538919078338,0.0640404017082092,0.06551102693738863
0.24029964990444275,0.06649624043409533,0.06808490080625877
0.24974082368086414,0.06904372526640766,0.07075990004291151
0.259552933338016,0.07168606766884271,0.07353999777910453
0.26975055263874564,0.0744265740032488,0.07642932324764459
0.28034882793694427,0.07726864675244866,0.07943216791546755
0.2913635006741755,0.0802157855923486,0.08255299185768306
0.3028109307601754,0.08327158829204845,0.08579643038204969
0.31470812087195255,0.08643975141874317,0.08916730091371988
0.3270727417075828,0.089724070822119,0.0926706101504818
0.33992315823220004,0.09312844187070742,0.09631156149912334
0.3532784569551749,0.09665685941030422,0.10009556280396623
0.3671584742789876,0.1003134174119968,0.10402823437904649
0.38158382596190527,0.10410230827465748,0.10811541735587316
0.39657593773822575,0.10802782174389673,0.11236318235916395
0.4121570771415609,0.11209434340642604,0.11677783852344226
0.42835038657843555,0.116306352715601,0.12136594286389008
0.4451799177013168,0.12066842050054703,0.1261343100153731
0.462670667132131,0.1251852059077491,0.13109002235410377
0.4808486135893327,0.12986145272034524,0.1362404405169776
0.49974075647365795,0.13470198499654384,0.14159321433420308
0.5193751559698876,0.13971170196469937,0.14715629419146814
0.5397809747241704,0.14489557210857917,0.15293794283851495
0.5609885211588133,0.15025862637229875,0.15894674766166375
0.5830292944888791,0.15580595041036505,0.16519163343851573
0.6059360315074416,0.1615426758042314,0.1716818755937751
0.6297427552090019,0.1674739701628807,0.17842711397588387
0.6544848253232733,0.17360502602120842,0.18543736717492745
0.6801989908343958,0.17994104844656603,0.1927230474030788
0.7069234445635948,0.18648724126076083,0.20029497595968518
0.7346978798963353,0.19324879178229812,0.20816439930396166
0.7635635497382506,0.20023085399184337,0.21634300575917098
0.7935633277873934,0.20743853002290588,0.22484294287309478
0.8247417722138216,0.21487684987988512,0.2336768354605828
0.8571451918411112,0.2225507492870942,0.2428578043549815
0.8908217149280728,0.2304650455754066,0.2523994858962873
0.925821360652858,0.23862441151818925,0.26231605218497644
0.9621961134056082,0.24703334703541066,0.272622232131589
1.0,0.2556961486947234,0.2833333333333333
