deep_capacity,coupling,single_frequency_objective,multi_frequency_objective
44.00868261356036,0.01541567072005409,203.68418141490616,978.0466473207425
44.92503499723416,0.01541567072005409,203.68384481573372,978.066792242953
45.8604677450815,0.01541567072005409,203.68352875707046,978.0865623475569
46.815378150003546,0.01541567072005409,203.6832322685122,978.1059637567735
47.79017177736669,0.01541567072005409,203.6829544216536,978.1250025331273
48.785262637252515,0.01541567072005409,203.68269432833682,978.1436846778311
49.80107336029433,0.01541567072005409,203.68245113897743,978.1620161293346
50.83803537717502,0.01541567072005409,203.6822240409546,978.180002762014
51.896589101862354,0.01541567072005409,203.68201225706798,978.197650385011
52.97718411865974,0.01541567072005409,203.6818150440597,978.2149647411944
54.08027937315166,0.01541567072005409,203.6816316911932,978.2319515062511
55.20634336712504,0.01541567072005409,203.68146151889323,978.2486162878998
56.35585435754926,0.01541567072005409,203.68130387743867,978.264964625203
57.52930055969941,0.01541567072005409,203.68115814571365,978.2810019879986
58.72718035450888,0.01541567072005409,203.6810237300026,978.2967337764167
59.950002500239584,0.01541567072005409,203.68090006284157,978.3121653204987
61.19828634855949,0.01541567072005409,203.68078660191267,978.3273018798959
62.47256206511944,0.01541567072005409,203.6806828289841,978.3421486436555
63.77337085472275,0.01541567072005409,203.68058824889695,978.3567107300821
65.10126519118333,0.01541567072005409,203.68050238859013,978.3709931866658
66.45680905197001,0.01541567072005409,203.68042479616616,978.3850009900864
67.84057815773649,0.01541567072005409,203.68035503999545,978.3987390462746
69.25316021683896,0.01541567072005409,203.68029270786045,978.4122121905334
70.69515517494501,0.01541567072005409,203.68023740612966,978.4254251877156
72.16717546983993,0.01541567072005409,203.6801887589696,978.4383827324532
73.66984629153856,0.01541567072005409,203.6801464075883,978.451089449433
75.20380584781329,0.01541567072005409,203.68011000951046,978.4635498937182
76.76970563525093,0.01541567072005409,203.68007923788187,978.475768551112
78.36821071595338,0.01541567072005409,203.68005378079962,978.4877498385569
80.0,0.01541567072005409,203.68003334068104,978.4994981045747
2.0,0.015842860249942203,209.61294635711286,971.5864925930593
2.041644163344778,0.015842860249942203,209.35109892670772,971.3396939247594
2.084155444859899,0.015842860249942203,209.0971619985477,971.1027050424611
2.127551899750726,0.015842860249942203,208.85099472869572,970.8754193395803
2.1718519591695817,0.015842860249942203,208.6124517455,970.6577242710844
2.2170744380437486,0.015842860249942203,208.3813837668447,970.4495014728718
2.2632385430664614,0.015842860249942203,208.1576381891936,970.2506268956678
2.3103638808542897,0.015842860249942203,207.94105964768994,970.0609709534567
2.358470466274375,0.015842860249942203,207.7314905468902,969.88039868635
2.407578730945058,0.015842860249942203,207.52877156190777,969.7087699377428
2.457709531913502,0.015842860249942203,207.33274210995643,969.5459395454978
2.5088841605140138,0.015842860249942203,207.14324079248993,969.3917575468179
2.5611243514107995,0.015842860249942203,206.96010580828028,969.2460693963607
