frequency,model,amplitude,phase_radians
0.4480253679829494,one effective reservoir,0.334742709044981,-1.2294641528590997
0.4574257841876624,one effective reservoir,0.3286133123708786,-1.235961353611437
0.4670234388327335,one effective reservoir,0.32256935215925625,-1.2423536396392174
0.4768224703521972,one effective reservoir,0.31661109862941667,-1.2486416771193674
0.4868271040122284,one effective reservoir,0.3107387298683479,-1.2548261878663176
0.4970416537330474,one effective reservoir,0.3049523361119348,-1.2609079457010883
0.5074705239490471,one effective reservoir,0.2992519239957883,-1.2668877729169046
0.5181182115079497,one effective reservoir,0.29363742076138133,-1.2727665368463255
0.5289893076098151,one effective reservoir,0.28810867840467047,-1.2785451465339797
0.5400884997867293,one effective reservoir,0.2826654777558216,-1.2842245495181723
0.5514205739240302,one effective reservoir,0.277307532480007,-1.2898057287238651
0.5629904163239473,one effective reservoir,0.2720344929905371,-1.2952896994688154
0.5748030158125357,one effective reservoir,0.26684595026682184,-1.3006775065840128
0.5868634658908172,one effective reservoir,0.26174143957078533,-1.3059702216489542
0.5991769669310619,one effective reservoir,0.25672044405643824,-1.311168940341762
0.6117488284191466,one effective reservoir,0.2517823982683051,-1.3162747799036605
0.6245844712439618,one effective reservoir,0.2469266915253217,-1.321288876716885
0.6376894300348612,one effective reservoir,0.24215267118765868,-1.3262123839947209
0.6510693555481462,one effective reservoir,0.23745964580471543,-1.3310464695820097
0.6647300171036314,one effective reservoir,0.2328468881432144,-1.3357923138641803
0.6786773050723303,one effective reservoir,0.22831363809497873,-1.3404511077825794
0.6929172334163334,one effective reservoir,0.22385910546454477,-1.345024050953673
0.7074559422819878,one effective reservoir,0.2194824726372694,-1.3495123498894928
0.7222997006474774,one effective reservoir,0.21518289712905944,-1.3539172163165436
0.7374549090259553,one effective reservoir,0.2109595140192433,-1.3582398655902677
0.7529281022254006,one effective reservoir,0.20681143826845766,-1.3624815152020628
0.7687259521663736,one effective reservoir,0.20273776692373446,-1.3666433833757654
0.784855270758894,one effective reservoir,0.19873758121322505,-1.3707266877504733
0.8013230128396887,one effective reservoir,0.19480994853322237,-1.3747326441465415
0.8181362791710601,one effective reservoir,0.1909539243303298,-1.3786624654115665
0.8353023195026779,one effective reservoir,0.1871685538817686,-1.3825173603431897
0.8528285356976201,one effective reservoir,0.18345287397693663,-1.3862985326855548
0.8707224849239922,one effective reservoir,0.1798059145034253,-1.390007180196288
0.8889918829135252,one effective reservoir,0.17622669994075868,-1.3936444937809132
0.9076446072885366,one effective reservoir,0.17271425076516914,-1.3972116566916553
0.9266887009586973,one effective reservoir,0.1692675847687414,-1.4007098437876535
0.9461323755890769,one effective reservoir,0.1658857182962574,-1.4041402208536635
0.9659840151409473,one effective reservoir,0.16256766740306916,-1.4075039439744008
0.9862521794868784,one effective reservoir,0.15931244893729438,-1.4108021589617532
1.0069456081016948,one effective reservoir,0.15611908154958873,-1.4140360008321737
1.0280732238308659,one effective reservoir,0.1529865866337068,-1.417206593331637
1.0496441367379648,one effective reservoir,0.1499139892009961,-1.4203150485056408
1.0716676480328633,one effective reservoir,0.1469003186919046,-1.4233624663118127
1.0941532540823375,one effective reservoir,0.14394460972751208,-1.4263499342727661
1.1171106505048243,one effective reservoir,0.14104590280401266,-1.429278527166949
1.1405497363511041,one effective reservoir,0.13820324493299183,-1.4321493067553057
1.1644806183726866,one effective reservoir,0.13541569023026193,-1.4349633215416644
1.18891361537977,one effective reservoir,0.13268230045592186,-1.4377216065648493
1.213859262690629,one effective reservoir,0.13000214550822356,-1.4404251832205992
